ID,Group,Statistic,Component,Unit,Test,Value
71,Ctrl,SEM,Fat,g,Test 4,528.69
72,Ctrl,SEM,Fat,g,Post,186.31
73,Exer,Mean,Fat,g,Pre,3236.63
74,Exer,Mean,Fat,g,Test 1,3300.09
75,Exer,Mean,Fat,g,Test 2,3347.34
76,Exer,Mean,Fat,g,Test 3,3307.43
77,Exer,Mean,Fat,g,Test 4,3391.46
78,Exer,Mean,Fat,g,Post,3520.76
79,Exer,SD,Fat,g,Pre,1240.62
80,Exer,SD,Fat,g,Test 1,1310.40
81,Exer,SD,Fat,g,Test 2,1368.15
82,Exer,SD,Fat,g,Test 3,1523.01
83,Exer,SD,Fat,g,Test 4,1538.14
84,Exer,SD,Fat,g,Post,1408.06
85,Exer,SEM,Fat,g,Pre,284.62
86,Exer,SEM,Fat,g,Test 1,300.63
87,Exer,SEM,Fat,g,Test 2,313.88
88,Exer,SEM,Fat,g,Test 3,349.40
89,Exer,SEM,Fat,g,Test 4,352.87
90,Exer,SEM,Fat,g,Post,323.03
91,FLY,Mean,Fat,g,Pre,2932.49
92,FLY,Mean,Fat,g,Test 1,2994.96
93,FLY,Mean,Fat,g,Test 2,2989.46
94,FLY,Mean,Fat,g,Test 3,3031.34
95,FLY,Mean,Fat,g,Test 4,3019.70
96,FLY,Mean,Fat,g,Post,3028.54
97,FLY,SD,Fat,g,Pre,1496.17
98,FLY,SD,Fat,g,Test 1,1582.91
99,FLY,SD,Fat,g,Test 2,1632.42
100,FLY,SD,Fat,g,Test 3,1668.31
101,FLY,SD,Fat,g,Test 4,1695.88
102,FLY,SD,Fat,g,Post,1711.52
103,FLY,SEM,Fat,g,Pre,528.98
104,FLY,SEM,Fat,g,Test 1,559.64
105,FLY,SEM,Fat,g,Test 2,577.15
106,FLY,SEM,Fat,g,Test 3,589.84
107,FLY,SEM,Fat,g,Test 4,599.58
108,FLY,SEM,Fat,g,Post,605.12
109,Ctrl,Mean,Lean,g,Pre,8079.72
110,Ctrl,Mean,Lean,g,Test 1,8190.29
111,Ctrl,Mean,Lean,g,Test 2,8185.68
112,Ctrl,Mean,Lean,g,Test 3,8059.94
113,Ctrl,Mean,Lean,g,Test 4,7852.93
114,Ctrl,Mean,Lean,g,Post,7775.59
115,Ctrl,SD,Lean,g,Pre,1441.68
116,Ctrl,SD,Lean,g,Test 1,3623.88
117,Ctrl,SD,Lean,g,Test 2,3643.32
118,Ctrl,SD,Lean,g,Test 3,3581.06
119,Ctrl,SD,Lean,g,Test 4,3485.96
120,Ctrl,SD,Lean,g,Post,1482.65
121,Ctrl,SEM,Lean,g,Pre,434.68
122,Ctrl,SEM,Lean,g,Test 1,1092.64
123,Ctrl,SEM,Lean,g,Test 2,1098.50
124,Ctrl,SEM,Lean,g,Test 3,1079.73
125,Ctrl,SEM,Lean,g,Test 4,1051.06
126,Ctrl,SEM,Lean,g,Post,447.03
127,Exer,Mean,Lean,g,Pre,8172.39
128,Exer,Mean,Lean,g,Test 1,8630.62
129,Exer,Mean,Lean,g,Test 2,8613.03
130,Exer,Mean,Lean,g,Test 3,8303.78
131,Exer,Mean,Lean,g,Test 4,8251.55
132,Exer,Mean,Lean,g,Post,8684.46
133,Exer,SD,Lean,g,Pre,1036.01
134,Exer,SD,Lean,g,Test 1,1029.04
135,Exer,SD,Lean,g,Test 2,1034.97
136,Exer,SD,Lean,g,Test 3,2236.35
