ID,Group,Statistic,ROI,Unit,Test,Value
151,FLY,SD,Femoral Left Total Hip,BMD g/cm²,Pre,0.16
152,FLY,SD,Femoral Left Total Hip,BMD g/cm²,Test 1,0.17
153,FLY,SD,Femoral Left Total Hip,BMD g/cm²,Test 2,0.16
154,FLY,SD,Femoral Left Total Hip,BMD g/cm²,Test 3,0.17
155,FLY,SD,Femoral Left Total Hip,BMD g/cm²,Test 4,0.16
156,FLY,SD,Femoral Left Total Hip,BMD g/cm²,Post,0.17
157,FLY,SEM,Femoral Left Total Hip,BMD g/cm²,Pre,0.06
158,FLY,SEM,Femoral Left Total Hip,BMD g/cm²,Test 1,0.06
159,FLY,SEM,Femoral Left Total Hip,BMD g/cm²,Test 2,0.06
160,FLY,SEM,Femoral Left Total Hip,BMD g/cm²,Test 3,0.06
161,FLY,SEM,Femoral Left Total Hip,BMD g/cm²,Test 4,0.06
162,FLY,SEM,Femoral Left Total Hip,BMD g/cm²,Post,0.06
163,Ctrl,Mean,Femoral Right Total Hip,BMD g/cm²,Pre,1.06
164,Ctrl,Mean,Femoral Right Total Hip,BMD g/cm²,Test 1,1.04
165,Ctrl,Mean,Femoral Right Total Hip,BMD g/cm²,Test 2,1.04
166,Ctrl,Mean,Femoral Right Total Hip,BMD g/cm²,Test 3,1.04
167,Ctrl,Mean,Femoral Right Total Hip,BMD g/cm²,Test 4,1.03
168,Ctrl,Mean,Femoral Right Total Hip,BMD g/cm²,Post,1.05
169,Ctrl,SD,Femoral Right Total Hip,BMD g/cm²,Pre,0.12
170,Ctrl,SD,Femoral Right Total Hip,BMD g/cm²,Test 1,0.43
171,Ctrl,SD,Femoral Right Total Hip,BMD g/cm²,Test 2,0.43
172,Ctrl,SD,Femoral Right Total Hip,BMD g/cm²,Test 3,0.43
173,Ctrl,SD,Femoral Right Total Hip,BMD g/cm²,Test 4,0.43
174,Ctrl,SD,Femoral Right Total Hip,BMD g/cm²,Post,0.11
175,Ctrl,SEM,Femoral Right Total Hip,BMD g/cm²,Pre,0.04
176,Ctrl,SEM,Femoral Right Total Hip,BMD g/cm²,Test 1,0.13
177,Ctrl,SEM,Femoral Right Total Hip,BMD g/cm²,Test 2,0.13
178,Ctrl,SEM,Femoral Right Total Hip,BMD g/cm²,Test 3,0.13
