ID,Group,Statistic,Ratio Type,Test,Value
92,FLY,Mean,Legs/Total,Test 1,0.36
93,FLY,Mean,Legs/Total,Test 2,0.35
94,FLY,Mean,Legs/Total,Test 3,0.35
95,FLY,Mean,Legs/Total,Test 4,0.35
96,FLY,Mean,Legs/Total,Post,0.35
97,FLY,SD,Legs/Total,Pre,0.03
98,FLY,SD,Legs/Total,Test 1,0.03
99,FLY,SD,Legs/Total,Test 2,0.03
100,FLY,SD,Legs/Total,Test 3,0.03
101,FLY,SD,Legs/Total,Test 4,0.03
102,FLY,SD,Legs/Total,Post,0.02
103,FLY,SEM,Legs/Total,Pre,0.01
104,FLY,SEM,Legs/Total,Test 1,0.01
105,FLY,SEM,Legs/Total,Test 2,0.01
106,FLY,SEM,Legs/Total,Test 3,0.01
107,FLY,SEM,Legs/Total,Test 4,0.01
108,FLY,SEM,Legs/Total,Post,0.01
109,Ctrl,Mean,Extremities/Trunk,Pre,0.91
110,Ctrl,Mean,Extremities/Trunk,Test 1,0.90
111,Ctrl,Mean,Extremities/Trunk,Test 2,0.89
112,Ctrl,Mean,Extremities/Trunk,Test 3,0.88
113,Ctrl,Mean,Extremities/Trunk,Test 4,0.88
114,Ctrl,Mean,Extremities/Trunk,Post,0.85
115,Ctrl,SD,Extremities/Trunk,Pre,0.23
116,Ctrl,SD,Extremities/Trunk,Test 1,0.41
117,Ctrl,SD,Extremities/Trunk,Test 2,0.41
118,Ctrl,SD,Extremities/Trunk,Test 3,0.39
119,Ctrl,SD,Extremities/Trunk,Test 4,0.40
120,Ctrl,SD,Extremities/Trunk,Post,0.16
121,Ctrl,SEM,Extremities/Trunk,Pre,0.07
122,Ctrl,SEM,Extremities/Trunk,Test 1,0.12
123,Ctrl,SEM,Extremities/Trunk,Test 2,0.12
124,Ctrl,SEM,Extremities/Trunk,Test 3,0.12
125,Ctrl,SEM,Extremities/Trunk,Test 4,0.12
126,Ctrl,SEM,Extremities/Trunk,Post,0.05
127,Exer,Mean,Extremities/Trunk,Pre,1.04
128,Exer,Mean,Extremities/Trunk,Test 1,1.01
129,Exer,Mean,Extremities/Trunk,Test 2,1.03
130,Exer,Mean,Extremities/Trunk,Test 3,0.90
131,Exer,Mean,Extremities/Trunk,Test 4,0.92
132,Exer,Mean,Extremities/Trunk,Post,1.00
133,Exer,SD,Extremities/Trunk,Pre,0.29
134,Exer,SD,Extremities/Trunk,Test 1,0.28
135,Exer,SD,Extremities/Trunk,Test 2,0.32
136,Exer,SD,Extremities/Trunk,Test 3,0.31
137,Exer,SD,Extremities/Trunk,Test 4,0.35
138,Exer,SD,Extremities/Trunk,Post,0.32
139,Exer,SEM,Extremities/Trunk,Pre,0.07
140,Exer,SEM,Extremities/Trunk,Test 1,0.06
141,Exer,SEM,Extremities/Trunk,Test 2,0.07
142,Exer,SEM,Extremities/Trunk,Test 3,0.07
143,Exer,SEM,Extremities/Trunk,Test 4,0.08
144,Exer,SEM,Extremities/Trunk,Post,0.07
145,FLY,Mean,Extremities/Trunk,Pre,0.93
146,FLY,Mean,Extremities/Trunk,Test 1,0.95
147,FLY,Mean,Extremities/Trunk,Test 2,0.91
148,FLY,Mean,Extremities/Trunk,Test 3,0.91
149,FLY,Mean,Extremities/Trunk,Test 4,0.92
150,FLY,Mean,Extremities/Trunk,Post,0.92
151,FLY,SD,Extremities/Trunk,Pre,0.18
152,FLY,SD,Extremities/Trunk,Test 1,0.19
153,FLY,SD,Extremities/Trunk,Test 2,0.15
154,FLY,SD,Extremities/Trunk,Test 3,0.14
155,FLY,SD,Extremities/Trunk,Test 4,0.14
156,FLY,SD,Extremities/Trunk,Post,0.14
157,FLY,SEM,Extremities/Trunk,Pre,0.06
158,FLY,SEM,Extremities/Trunk,Test 1,0.07
159,FLY,SEM,Extremities/Trunk,Test 2,0.05
160,FLY,SEM,Extremities/Trunk,Test 3,0.05
161,FLY,SEM,Extremities/Trunk,Test 4,0.05
162,FLY,SEM,Extremities/Trunk,Post,0.05
163,Ctrl,Mean,Android/Gynoid,Pre,1.02
164,Ctrl,Mean,Android/Gynoid,Test 1,1.01
165,Ctrl,Mean,Android/Gynoid,Test 2,1.03
166,Ctrl,Mean,Android/Gynoid,Test 3,1.01
167,Ctrl,Mean,Android/Gynoid,Test 4,0.98
168,Ctrl,Mean,Android/Gynoid,Post,1.00
169,Ctrl,SD,Android/Gynoid,Pre,0.23
170,Ctrl,SD,Android/Gynoid,Test 1,0.46
171,Ctrl,SD,Android/Gynoid,Test 2,0.46
172,Ctrl,SD,Android/Gynoid,Test 3,0.45
173,Ctrl,SD,Android/Gynoid,Test 4,0.44
174,Ctrl,SD,Android/Gynoid,Post,0.19
175,Ctrl,SEM,Android/Gynoid,Pre,0.07
176,Ctrl,SEM,Android/Gynoid,Test 1,0.14
177,Ctrl,SEM,Android/Gynoid,Test 2,0.14
178,Ctrl,SEM,Android/Gynoid,Test 3,0.14
179,Ctrl,SEM,Android/Gynoid,Test 4,0.13
180,Ctrl,SEM,Android/Gynoid,Post,0.06
181,Exer,Mean,Android/Gynoid,Pre,0.90
182,Exer,Mean,Android/Gynoid,Test 1,0.93
183,Exer,Mean,Android/Gynoid,Test 2,0.92
184,Exer,Mean,Android/Gynoid,Test 3,0.91
185,Exer,Mean,Android/Gynoid,Test 4,0.89
186,Exer,Mean,Android/Gynoid,Post,0.92
187,Exer,SD,Android/Gynoid,Pre,0.20
188,Exer,SD,Android/Gynoid,Test 1,0.19
189,Exer,SD,Android/Gynoid,Test 2,0.22
190,Exer,SD,Android/Gynoid,Test 3,0.29
191,Exer,SD,Android/Gynoid,Test 4,0.29
192,Exer,SD,Android/Gynoid,Post,0.20
193,Exer,SEM,Android/Gynoid,Pre,0.04
194,Exer,SEM,Android/Gynoid,Test 1,0.04
195,Exer,SEM,Android/Gynoid,Test 2,0.05
196,Exer,SEM,Android/Gynoid,Test 3,0.07
197,Exer,SEM,Android/Gynoid,Test 4,0.07
198,Exer,SEM,Android/Gynoid,Post,0.05
199,FLY,Mean,Android/Gynoid,Pre,0.94
